responid,age,gender,edu,income,marital,consumption_rate,patronage_arbys,patronage_burgerking,patronage_mcd,patronage_subway,patronage_wendys,rating_arbys,rating_burgerking,rating_mcd,rating_subway,rating_wendys
123,2,2,4,2,2,10,,1,1,,1,,7,3,,3
125,2,1,3,2,1,1,,,,,,,,,,
126,2,2,2,1,2,5,2,3,1,3,2,6,,6,,8
127,2,2,3,8,1,40,,,,,1,,,,,7
129,2,2,3,1,1,10,3,1,1,1,1,,5,5,5,5
130,2,2,3,7,1,8,2,1,1,1,1,5,5,6,7,5
133,2,2,3,3,1,3,3,2,1,1,2,,8,6,9,8
134,2,1,3,4,1,1,3,3,2,3,3,,,6,,
136,2,2,3,2,1,5,4,3,2,3,1,,,7,,8
138,2,2,3,1,1,3,2,2,2,2,1,8,7,5,8,8
139,2,1,4,6,1,8,3,3,3,1,2,,,,7,8
140,2,2,4,2,1,8,3,2,1,1,3,,10,8,9,
141,2,2,3,5,1,4,2,3,2,3,2,9,,3,,6
142,2,1,3,2,1,10,3,1,2,1,1,,1,1,5,2
143,2,2,3,1,1,3,2,3,3,1,2,6,,,7,5
144,2,2,5,1,1,20,4,3,1,1,3,,,4,7,
145,2,2,4,1,1,5,,,1,,,,,7,,
146,2,2,4,1,1,3,3,1,1,2,3,,7,7,8,
147,2,2,3,2,2,1,2,2,2,4,2,8,4,7,,9
148,2,2,4,3,1,1,4,3,3,3,3,,,,,
149,2,2,3,8,1,20,3,3,1,2,3,,,5,10,
150,2,2,4,2,1,6,1,2,1,1,1,8,4,6,9,9
151,2,2,2,3,1,3,2,3,3,2,1,9,,,10,8
152,2,2,3,3,2,15,,1,1,1,,,5,5,9,
153,2,2,3,2,2,15,,,1,1,1,,,8,9,8
155,2,2,3,1,2,2,,,1,,,,,5,,
156,2,2,2,2,1,8,3,2,1,1,2,,4,9,10,4
158,2,1,1,3,1,35,1,1,1,1,1,6,4,2,10,2
159,2,2,3,8,1,1,,,,,1,,,,,6
160,2,1,3,5,1,8,3,2,1,1,3,,10,8,10,
161,2,2,4,3,1,3,3,3,3,1,2,,,,6,4
162,3,1,4,4,2,10,1,1,1,1,1,10,10,10,10,10
164,2,2,3,1,1,20,3,1,1,1,2,,10,9,8,8
166,2,1,3,2,1,10,1,2,1,1,4,9,2,2,8,
167,2,2,2,4,1,4,3,2,1,3,3,,7,7,,
168,2,2,3,5,1,1,,,,1,,,,,4,
169,2,1,4,2,1,10,1,1,1,1,1,10,7,6,9,8
170,2,1,3,5,1,4,3,1,2,3,1,,8,6,,8
171,2,1,3,8,1,2,3,3,3,3,3,,,,,
172,2,2,2,2,2,10,3,1,1,2,2,,2,7,3,6
173,2,2,3,2,1,23,3,2,1,1,1,,5,7,9,8
174,2,2,4,2,1,20,2,3,1,2,1,9,,9,9,10
175,2,2,3,4,1,8,3,1,1,3,3,,5,3,,
176,2,2,3,1,1,5,1,2,1,1,1,5,5,5,5,5
177,2,1,5,8,1,5,,1,,,,,7,,,
178,2,2,3,1,2,6,2,2,1,3,3,9,7,2,,
179,2,2,3,2,1,10,1,1,1,2,1,7,10,9,9,9
180,2,2,4,4,2,20,1,,,1,1,5,,,5,5
181,2,2,3,1,1,4,4,3,3,1,3,,,,9,
182,2,2,2,2,2,10,,1,,,,,10,,,
184,2,2,3,2,1,8,3,2,1,1,2,,8,9,9,8
185,2,2,3,1,2,17,,1,1,1,1,,8,3,10,8
186,2,2,2,8,1,14,1,1,1,1,1,8,7,4,8,8
187,2,1,4,2,1,10,1,1,1,3,1,7,7,7,,7
188,2,2,4,2,2,6,2,1,1,2,1,7,7,2,7,8
189,2,2,3,1,1,5,3,3,3,3,3,,,,,
190,2,2,3,8,1,4,,,1,1,,,,8,7,
192,2,2,4,2,2,40,1,1,1,1,1,9,8,6,7,6
193,2,2,3,3,2,10,3,3,1,3,3,,,5,,
195,2,1,3,2,1,8,1,3,2,1,1,7,,2,6,7
196,2,2,2,2,2,6,,1,1,1,,,4,6,7,
197,2,1,3,2,2,8,2,1,1,1,1,8,10,7,6,9
198,2,2,3,3,2,20,3,3,1,2,1,,,9,8,9
200,2,1,3,2,2,3,3,1,2,3,3,,7,4,,
201,2,2,3,1,1,2,,1,1,3,2,,9,9,,9
202,2,2,4,2,1,2,3,3,1,1,3,,,6,7,
203,2,2,4,5,1,15,1,1,1,1,1,7,7,4,7,7
204,2,2,4,2,1,7,3,3,1,1,1,,,7,8,6
205,2,2,4,2,2,15,3,1,2,1,2,,7,7,9,5
207,2,2,3,2,2,15,,1,,,1,,10,,,10
208,2,2,4,1,1,15,,,1,,,,,5,,
210,2,1,3,8,1,13,1,1,2,1,1,5,7,5,9,9
212,2,1,3,8,1,4,,1,,,1,,10,,,10
214,2,1,3,2,1,3,3,3,3,2,1,,,,9,10
216,2,1,3,1,1,4,2,3,3,2,1,7,,,9,7
217,2,2,3,2,1,4,3,1,1,1,1,,6,4,7,6
218,2,2,3,1,2,10,1,1,1,2,1,8,9,10,7,9
220,2,1,3,1,1,10,1,1,2,2,2,5,7,7,6,7
221,2,2,2,4,2,4,3,1,1,3,2,,9,8,,9
222,2,2,2,1,1,5,,,1,,1,,,6,,7
223,2,2,4,1,1,12,1,1,1,,,6,4,6,,
224,2,2,3,3,1,6,,,1,1,1,,,7,8,10
226,2,2,3,3,2,3,2,2,1,4,2,8,8,8,,8
227,2,2,4,2,2,4,1,1,3,1,2,10,10,,10,10
229,2,2,2,2,1,1,4,3,2,2,3,,,7,10,
230,2,2,4,2,2,12,1,2,1,3,1,10,8,9,,9
232,2,1,3,2,1,12,2,1,1,1,,8,9,9,10,
233,2,2,3,3,1,4,3,1,1,1,1,,8,8,8,8
235,2,2,3,2,2,10,,,1,1,,,,5,6,
236,2,2,4,1,1,12,4,2,3,3,3,,7,,,
237,2,2,4,8,1,2,3,2,1,3,3,,9,9,,
238,2,2,3,4,1,2,3,1,1,2,2,,7,7,9,7
240,2,2,2,2,2,3,,2,2,2,1,,4,5,6,10
241,4,2,3,4,2,3,2,2,1,1,3,8,4,7,6,
242,2,2,4,2,1,3,3,2,1,3,1,,8,10,,10
244,2,1,4,1,1,3,3,3,1,1,3,,,8,9,
245,2,2,1,2,1,3,2,3,1,2,1,9,,8,8,9
247,2,1,4,4,2,10,,1,1,1,,,5,5,9,
248,2,2,3,1,1,10,1,1,1,2,2,8,8,6,8,8
249,2,2,3,1,2,15,1,1,1,1,1,10,10,10,10,10
250,2,2,5,3,2,5,2,1,3,3,1,7,8,,,9
251,2,1,2,2,2,1,3,3,3,2,2,,,,7,6
252,2,1,3,8,1,4,1,2,1,2,2,7,4,6,8,9
253,2,2,3,5,1,4,3,2,1,1,3,,7,7,9,
254,2,2,3,8,1,2,3,3,2,2,1,,,5,5,5
256,2,2,3,8,2,6,1,3,1,1,2,5,,10,10,10
257,2,1,3,3,1,2,,,,,,,,,,
258,2,2,3,2,2,3,3,3,1,3,3,,,6,,
259,3,2,3,3,1,6,,1,1,1,,,8,8,8,
260,2,2,3,3,2,56,1,1,1,1,1,7,8,5,8,9
262,2,2,3,1,1,4,4,1,1,1,2,,7,6,8,9
263,5,2,3,8,2,5,3,2,1,1,1,,5,1,10,10
264,2,2,3,8,1,10,,1,1,2,1,,8,5,7,8
265,2,2,3,2,1,15,3,4,4,1,1,,,,8,5
266,2,1,3,1,1,8,,,1,,1,,,8,,9
267,2,2,4,8,1,4,3,3,1,1,3,,,3,5,
268,2,2,2,8,1,5,1,3,3,1,1,9,,,8,9
269,2,2,4,3,2,3,4,1,3,4,3,,7,,,
270,2,2,4,5,1,30,3,2,3,1,1,,4,,8,9
273,2,2,3,1,2,4,,1,1,1,2,,6,5,9,6
274,2,1,5,5,2,8,3,1,3,1,1,,7,,6,9
277,2,1,4,2,1,20,3,1,3,1,1,,6,,5,6
278,2,2,4,3,1,4,,,1,1,,,,7,8,
279,2,2,4,2,1,20,1,2,1,1,2,8,6,6,9,6
280,2,1,4,3,1,20,3,1,1,1,1,,6,5,5,7
281,2,2,3,1,1,12,1,1,1,1,1,9,6,6,9,7
282,2,2,3,1,1,3,3,3,1,3,3,,,8,,
283,2,1,3,8,1,2,,1,2,1,2,,7,5,7,7
285,2,2,3,1,1,2,3,3,3,3,3,,,,,
286,2,2,3,3,1,8,3,1,1,3,1,,7,7,,8
287,2,2,3,1,1,4,1,2,2,1,1,9,9,9,10,8
288,2,1,3,1,1,5,,1,1,,,,10,10,,
289,2,2,2,4,2,10,3,1,1,2,2,,8,6,6,8
290,2,2,3,3,2,10,1,2,1,1,1,9,9,9,10,10
291,2,2,3,1,1,3,,3,3,1,1,,,,9,6
292,2,1,3,2,1,4,,2,2,,,,7,4,,
293,2,2,3,2,1,4,2,,1,3,1,7,,7,,6
295,2,1,5,1,1,10,,2,1,2,1,,9,8,4,6
296,2,2,3,1,1,8,1,1,1,1,1,8,8,8,10,10
